,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mokhsogollokh,61,128.9203,28,97,100,3.53,RU,1619732188
1,Busselton,-33,115.3333,48,98,72,9.1,AU,1619732189
2,San Policarpo,12,125.5072,76,84,73,2.48,PH,1619732189
3,Ushuaia,-54,-68.3,42,56,20,3.44,AR,1619731981
4,Rikitea,-23,-134.9692,76,68,99,8.75,PF,1619732190
5,Punta Arenas,-53,-70.9167,41,87,90,8.05,CL,1619732190
6,Hermanus,-34,19.2345,55,76,66,3.0,ZA,1619732191
7,Lucapa,-8,20.7447,67,94,91,2.42,AO,1619732191
8,Saint-Philippe,-21,55.7679,75,78,20,6.91,RE,1619732192
9,Hobart,-42,147.3294,54,94,75,6.91,AU,1619732192
10,Atuona,-9,-139.0333,79,71,3,4.97,PF,1619732193
11,Butaritari,3,172.7902,83,76,100,15.28,KI,1619732193
12,Mount Gambier,-37,140.7667,48,100,0,9.22,AU,1619732193
13,Padang,0,100.3543,75,90,100,2.73,ID,1619732194
14,Naryan-Mar,67,53.087,22,94,69,1.68,RU,1619732194
15,Jamestown,42,-79.2353,52,93,90,9.22,US,1619732195
16,Upernavik,72,-56.1549,30,67,92,3.02,GL,1619732195
17,New Norfolk,-42,147.0587,54,92,62,2.15,AU,1619732196
18,Portland,45,-122.6762,77,35,1,4.61,US,1619731594
19,Flin Flon,54,-101.865,41,28,1,18.41,CA,1619732196
20,São José da Coroa Grande,-8,-35.1478,78,84,84,9.28,BR,1619732197
21,Uthal,25,66.6219,82,40,61,6.24,PK,1619732197
22,Point Pedro,9,80.2333,81,85,13,9.48,LK,1619732198
23,Sept-Îles,50,-66.3821,46,61,75,10.36,CA,1619732198
24,Carroll,39,-77.0164,77,62,100,1.99,US,1619732198
25,Oussouye,12,-16.5469,78,83,0,4.61,SN,1619732199
26,Clyde River,70,-68.5914,26,100,90,10.36,CA,1619732200
27,Mataura,-46,168.8643,53,83,100,8.99,NZ,1619732200
28,Bluff,-46,168.3333,53,83,80,8.99,NZ,1619732200
29,Hong Kong,22,114.1577,73,85,100,4.14,HK,1619732201
30,Port Alfred,-33,26.891,64,74,100,12.55,ZA,1619732202
31,San Jose,37,-121.895,82,49,75,13.8,US,1619731911
32,Broome,42,-75.833,64,100,90,11.5,US,1619732202
33,Bredasdorp,-34,20.0403,53,82,93,5.75,ZA,1619732052
34,Vanimo,-2,141.3028,79,85,98,3.49,PG,1619732203
35,Ürümqi,43,87.6005,69,18,0,11.18,CN,1619732203
36,Ribeira Grande,38,-28.7,59,72,20,9.22,PT,1619732204
37,Klaksvík,62,-6.589,37,60,90,12.66,FO,1619732204
38,Tasiilaq,65,-37.6368,32,93,75,4.61,GL,1619732205
39,Peruíbe,-24,-46.9983,67,85,26,4.59,BR,1619732205
40,Yulara,-25,130.9889,50,53,5,4.61,AU,1619732206
41,Khandyga,62,135.6,32,99,100,2.26,RU,1619732206
42,Shahrud,36,54.9763,56,69,0,5.61,IR,1619732207
43,Port Lincoln,-34,135.8667,63,65,24,10.85,AU,1619732207
44,Mahébourg,-20,57.7,77,83,75,12.66,MU,1619732208
45,Hilo,19,-155.09,84,51,40,9.22,US,1619731942
46,Aden,12,45.0367,79,76,33,17.43,YE,1619732022
47,Carnarvon,-24,113.6333,69,94,75,6.91,AU,1619732209
48,Yellowknife,62,-114.3525,28,63,75,11.5,CA,1619732167
49,Tuskegee,32,-85.6916,80,69,40,6.91,US,1619732209
50,Yar-Sale,66,70.8333,22,96,100,7.78,RU,1619732210
51,Sitka,57,-135.33,46,93,90,12.66,US,1619732210
52,San Patricio,28,-97.5169,84,74,90,9.22,US,1619732210
53,Ostrovnoy,68,39.5131,22,88,90,11.3,RU,1619732211
54,Pangnirtung,66,-65.7125,30,93,90,3.44,CA,1619732211
55,Dunedin,-45,170.5036,55,83,100,11.99,NZ,1619732212
56,Torbay,47,-52.7314,45,65,75,11.5,CA,1619732212
57,Butembo,0,29.2833,57,92,100,3.2,CD,1619732213
58,Naze,28,129.4833,64,71,0,10.56,JP,1619732213
59,Marawi,7,124.2928,75,87,50,7.0,PH,1619732213
60,Lagoa,39,-27.9833,56,61,100,7.9,PT,1619732214
61,Puerto Ayora,0,-90.3518,82,74,40,17.27,EC,1619732195
62,Tomohon,1,124.8392,75,94,20,1.7,ID,1619732215
63,Waipawa,-41,175.5153,59,82,7,12.66,NZ,1619732215
64,Puerto Escondido,15,-97.0667,86,70,75,8.05,MX,1619732215
65,Bambanglipuro,-7,110.2833,75,84,70,2.35,ID,1619731995
66,Dolisie,-4,12.6739,73,97,90,3.02,CG,1619732216
67,Fortuna,40,-124.1573,64,77,1,13.8,US,1619732217
68,Kolpashevo,58,82.9089,40,82,100,14.83,RU,1619732217
69,Ahipara,-35,173.1667,62,66,0,1.97,NZ,1619732217
70,Port Blair,11,92.75,81,77,100,4.92,IN,1619732218
71,Benito Juarez,19,-99.165,80,26,40,4.61,MX,1619732218
72,Vaini,-21,-175.2,77,94,90,11.5,TO,1619732219
73,Longyearbyen,78,15.6401,21,53,40,10.36,SJ,1619732219
74,Arraial do Cabo,-22,-42.0278,71,83,75,6.91,BR,1619732220
75,Thompson,55,-97.8558,32,40,75,19.57,CA,1619732220
76,Chu,43,73.7614,62,46,0,9.93,KZ,1619732220
77,Nikolskoye,59,30.7861,35,55,0,2.24,RU,1619732221
78,Avarua,-21,-159.775,84,79,20,9.22,CK,1619732221
79,Coquimbo,-29,-71.3436,60,72,0,11.5,CL,1619732075
80,Trat,12,102.5,77,99,100,3.44,TH,1619732222
81,Mineral Wells,32,-98.1128,63,94,90,10.36,US,1619732223
82,Surin,14,103.4936,78,86,100,3.89,TH,1619732223
83,Bandarbeyla,9,50.8122,83,76,40,7.25,SO,1619732224
84,Taoudenni,22,-3.9836,93,18,73,24.29,ML,1619732224
85,Rio Grande,-32,-52.0986,66,68,0,6.91,BR,1619732154
86,Hinundayan,10,125.2506,79,83,90,3.04,PH,1619732225
87,Haines Junction,60,-137.5108,46,46,99,5.75,CA,1619732225
88,Tiksi,71,128.8694,30,82,93,8.57,RU,1619732226
89,Maple Creek,49,-109.4848,69,28,89,10.36,CA,1619732226
90,Chui,-33,-53.4616,58,74,0,2.8,UY,1619732227
91,Mar del Plata,-38,-57.5575,68,73,0,10.36,AR,1619732227
92,Am Timan,11,20.2827,91,26,84,4.54,TD,1619732228
93,Castro,-24,-50.0119,54,82,9,6.29,BR,1619732228
94,Faanui,-16,-151.75,81,72,75,7.11,PF,1619732228
95,Oruzgan,32,66.0,64,37,38,4.99,AF,1619732229
96,Mandurah,-32,115.7,62,62,98,5.99,AU,1619732229
97,Norman Wells,65,-126.8329,41,38,75,6.91,CA,1619732230
98,Yerbogachën,61,108.0108,24,92,62,2.84,RU,1619732230
99,Cherskiy,68,161.3,22,91,100,7.85,RU,1619732231
100,Dikson,73,80.5464,-1,99,95,7.38,RU,1619732231
101,Albany,42,-73.9662,57,90,100,3.78,US,1619732169
102,Vao,-22,167.4833,75,57,65,19.55,NC,1619732232
103,Baudh,20,84.3213,79,56,0,3.15,IN,1619732232
104,Isangel,-19,169.2667,77,83,75,8.05,VU,1619732233
105,Sangar,63,127.4739,25,92,100,3.4,RU,1619732233
106,Kruisfontein,-34,24.7314,57,95,100,4.97,ZA,1619732234
